,City,Cloudiness %,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,vostok,0,RU,1551661270,73,46.45,135.83,-4.49,1.07
88,tezu,92,IN,1551661271,96,27.93,96.16,8.64,0.87
89,bandarbeyla,88,SO,1551661272,100,9.49,50.81,25.29,5.77
90,itacoatiara,8,BR,1551661224,77,-3.14,-58.44,27.39,1.97
91,tuburan,75,PH,1551657600,83,10.73,123.82,27.0,1.5
92,thompson,90,CA,1551657600,65,55.74,-97.86,-14.0,6.2
93,dakar,0,SN,1551659400,63,14.69,-17.45,20.0,8.7
94,nikolskoye,75,RU,1551661234,92,59.7,30.79,-10.0,4.0
95,portland,1,US,1551661239,29,45.52,-122.67,4.44,11.3
96,ahipara,8,NZ,1551661276,62,-35.17,173.16,23.02,2.77
97,qaanaaq,0,GL,1551661199,85,77.48,-69.36,-21.49,4.67
98,omaruru,0,NA,1551661276,53,-21.42,15.95,17.52,1.67
99,new norfolk,75,AU,1551661276,30,-42.78,147.06,22.22,4.1
100,entre rios,88,BR,1551661007,83,-11.94,-38.08,27.87,4.42
101,aksarka,80,RU,1551661198,74,66.56,67.8,-19.74,10.52
102,morondava,88,MG,1551661028,99,-20.3,44.28,25.77,2.22
103,santa cruz del norte,20,CU,1551660781,73,23.15,-81.92,25.0,0.5
104,poum,0,MK,1551661277,75,41.28,20.71,-8.39,0.62
105,tura,0,IN,1551661278,82,25.52,90.21,11.87,1.47
106,port alfred,0,ZA,1551661169,91,-33.59,26.89,19.44,3.92
107,lunca,88,RO,1551661278,92,45.97,22.87,-0.14,0.47
108,cervo,92,BR,1551661022,93,-22.19,-46.24,18.74,2.47
109,broken hill,0,AU,1551657600,25,-31.97,141.45,32.0,3.1
110,denizli,75,TR,1551657000,100,37.77,29.09,3.0,3.6
111,upernavik,32,GL,1551661259,100,72.79,-56.15,-12.81,1.47
112,atambua,20,ID,1551661281,100,-9.11,124.89,25.62,1.57
113,kokstad,20,ZA,1551661024,98,-30.55,29.42,12.37,0.97
114,lamar,90,US,1551661242,71,38.09,-102.62,-13.0,2.1
115,tuktoyaktuk,90,CA,1551659520,92,69.44,-133.03,-5.0,9.3
116,bosaso,92,SO,1551661283,100,11.28,49.18,24.87,1.07
117,provideniya,90,RU,1551655800,92,64.42,-173.23,-1.0,17.0
118,mar del plata,24,AR,1551661199,42,-46.43,-67.52,15.92,8.22
119,tayginka,32,RU,1551660903,71,55.63,60.5,-10.57,0.89
120,nome,90,US,1551661275,71,30.04,-94.42,11.0,7.7
121,pisco,75,PE,1551657600,78,-13.71,-76.2,23.0,8.7
122,takoradi,76,GH,1551661253,97,4.89,-1.75,28.27,4.77
123,mount gambier,8,AU,1551657600,60,-37.83,140.78,20.0,3.6
124,maceio,40,BR,1551661200,83,-9.67,-35.74,25.0,2.6
125,puerto ayora,40,EC,1551657600,78,-0.74,-90.35,28.0,4.6
126,kavaratti,8,IN,1551661298,100,10.57,72.64,27.64,4.77
127,kumluca,8,TR,1551661308,91,36.37,30.29,-2.81,0.77
128,sakaiminato,75,JP,1551660518,81,35.55,133.23,9.44,6.7
129,dekar,24,BW,1551661309,15,-21.53,21.93,27.77,4.27
130,bambous virieux,64,MU,1551661147,81,-20.34,57.76,26.11,3.72
131,dikson,36,RU,1551661225,95,73.51,80.55,-20.64,10.87
132,ca mau,0,VN,1551661036,99,9.18,105.15,20.77,2.67
133,taoudenni,0,ML,1551661310,30,22.68,-3.98,11.02,2.67
134,saint anthony,1,US,1551660923,49,43.97,-111.68,-2.78,1.5
135,kieta,24,PG,1551661315,94,-6.22,155.63,28.17,1.22
136,luanda,20,AO,1551657600,88,-8.83,13.24,26.0,1.0
137,souillac,92,FR,1551661214,76,45.6,-0.6,14.44,7.2
138,paisley,75,GB,1551660946,93,55.85,-4.42,5.0,4.6
139,hithadhoo,88,MV,1551661204,99,-0.6,73.08,28.67,5.02
140,pevek,68,RU,1551661317,87,69.7,170.27,-15.34,4.12
141,cherskiy,32,RU,1551661317,71,68.75,161.3,-23.74,3.02
142,naze,56,NG,1551661318,93,5.43,7.07,22.52,1.77
143,georgetown,40,GY,1551657600,78,6.8,-58.16,27.0,6.2
144,hermanus,0,ZA,1551660364,85,-34.42,19.24,17.78,1.79
145,olinda,75,EC,1551661259,94,-2.03,-79.75,25.0,3.1
146,craigieburn,0,AU,1551661024,60,-37.6,144.94,27.22,3.1
147,eureka,1,US,1551661026,76,40.8,-124.16,12.22,4.6
148,bartica,20,GY,1551657600,94,6.41,-58.62,24.0,3.1
149,narsaq,68,GL,1551657000,42,60.91,-46.05,-2.0,4.1
150,norman wells,5,CA,1551657600,46,65.28,-126.83,-13.0,1.0
151,tasiilaq,92,GL,1551657000,73,65.61,-37.64,-5.0,6.7
152,saint-philippe,90,CA,1551661281,68,45.36,-73.48,-1.0,0.77
153,najran,5,SA,1551657600,27,17.54,44.22,18.0,1.07
154,erenhot,20,CN,1551661336,62,43.65,111.97,-10.24,0.97
